N,epsilon,method,beta,lambda,sigma_sq,mse,loss,sse,fp,sr,hyperparams
3000,,mle,"[ 0.04886616 -0.00400471  0.01021893 -0.0263524   0.04845616  0.
 -0.01332511  0.01306715 -0.01867844  0.00146866  0.01093142  0.02847312
  0.04219761  0.00356907  0.03108267  0.01692195 -0.01188665 -0.06103081
 -0.05291192 -0.02307333  0.02831613 -0.00176708  0.0064109   0.03651817
 -0.00835769  0.00346594 -0.02854663 -0.00743653  0.          0.04393412
  0.02041597  0.00576046 -0.02136425 -1.00940941 -0.02225571 -0.04112437
  0.02605938  0.02339068 -0.0294636  -0.02661789  0.03096767  0.03920017
 -0.00861294  0.00171389 -0.01505871  0.         -0.02327019 -0.00398975
  0.02259478  0.02150218  0.02917955  0.01672862  0.03510974 -0.03661101
  0.00414175  0.00609511 -0.04611178  0.00964441 -0.00842035  0.03400485
  0.         -0.0108234  -0.00209152  0.0022759   0.00937501 -0.00638049
 -0.02347344  0.01982974 -0.96543636 -0.02651538  1.02339562  0.01949702
 -0.0167575   0.00917403 -0.02843372 -1.01418021 -0.04487767 -0.05287267
 -0.0054232   0.          0.97901891]",0.2563851962185578,1.2903634781489983,1.296825253975065,,13.067074014535693,72,False,{'best_r': np.float64(10.0)}
3000,1.0,without_private,"[-0.00723696 -0.06873104 -0.00195341 -0.06340303 -0.00905747 -0.00233076
  0.00432922  0.00448459  0.01145542  0.00701539  0.00506182 -0.00344077
 -0.06566747  0.05618844  0.06495748 -0.00193118 -0.00241959 -0.07239399
 -0.00321878  0.          0.00188725  0.00723744 -0.00157598 -0.00577178
  0.06069506  0.00102142 -0.00388484 -0.0027748  -0.00461734 -0.06131624
 -0.00894642  0.00428481  0.00131004  0.01416383 -0.00110976  0.06993027
 -0.993828    0.00506186  0.00823642 -0.00128736  0.00490643  0.00301951
  0.00519506 -0.04910621  0.         -0.00250835  0.          0.
  0.          0.0721059  -0.00117636 -0.06966344  0.         -0.00481715
  0.05814205 -0.06513465 -0.00714826 -0.06870879  0.         -0.00224198
 -0.05454518 -0.00443977 -0.0033298  -0.00481711  0.00470666 -0.0639358
  0.00508404 -0.00312999 -0.00190895  0.00104366  0.         -0.07019617
 -0.9401258  -0.058963    0.9859702   0.00135444  0.01278743 -0.00306337
 -0.00182018  0.0053727  -0.9263402   0.00108802  0.0059942  -0.00677082
 -0.00495037  1.001554    0.01385304  0.0011102  -0.00859121 -0.00261939
  0.00430701  0.00142099  0.9897218   0.00666028 -0.00188676 -0.00124299
 -0.06640004 -0.00586061 -0.05894082  0.00319703]",0.9953488707542419,0.7773540616035461,0.4401492178440094,0.7917126417160034,0.09743962152244258,86,False,{}
3000,1.0,private,"[ 0.48904455 -0.00759218 -0.06855346  0.11259878 -0.2589407  -0.2814294
 -0.10884629  0.20734821 -0.2078808  -0.07459176  0.045932   -0.03068015
  0.11330924  0.02224468  0.01383086  0.28191793 -0.01600601  0.03052499
 -0.01400798  0.1276059   0.03536488 -0.13000326  0.02157867  0.02271082
 -0.07412551  0.10367432 -0.04253494 -0.16816467 -0.0281938   0.05561144
  0.15153752  0.02664013 -0.0618934  -0.12132284 -0.09494924  0.06342563
 -0.57855463  0.03445456  0.04761934  0.13892797 -0.1364633  -0.19209646
  0.00677122 -0.27259365  0.05860811  0.21438599 -0.02988101 -0.00241955
 -0.1597289  -0.00512796  0.06595645 -0.07687842  0.22903779 -0.08702397
 -0.17162816 -0.10813628  0.07856611 -0.18579157 -0.01105541 -0.01662761
 -0.06209325  0.08438254  0.01918111  0.08069734  0.00543924 -0.02828263
  0.11532939  0.15520042  0.12385425  0.3154403   0.03050296 -0.00344075
 -0.50274134 -0.2855362   0.6447545   0.077123    0.08245102 -0.07041822
 -0.02870438 -0.3102448  -0.7235435  -0.07792198 -0.02663982 -0.00810284
  0.14154753  0.58767873 -0.0414693  -0.01158812 -0.16650008  0.13388842
  0.18994337 -0.29155263  0.6950604   0.09477215  0.06056196 -0.03924936
  0.01005677 -0.33402118 -0.27115083  0.03629723]",0.6338493824005127,2.2940638065338135,3.01841139793396,1.8384637832641602,2.7806502282035486,94,False,{}
